county,precinct,office,district,party,candidate,votes
Albany,ALBANY WARD 1 ED 1,U.S. House,20.0,CON,Elizabeth L. Joy,1
Albany,ALBANY WARD 1 ED 2,U.S. House,20.0,CON,Elizabeth L. Joy,6
Albany,ALBANY WARD 1 ED 3,U.S. House,20.0,CON,Elizabeth L. Joy,5
Albany,ALBANY WARD 1 ED 4,U.S. House,20.0,CON,Elizabeth L. Joy,6
Albany,ALBANY WARD 1 ED 5,U.S. House,20.0,CON,Elizabeth L. Joy,1
Albany,ALBANY WARD 1 ED 6,U.S. House,20.0,CON,Elizabeth L. Joy,2
Albany,ALBANY WARD 1 ED 7,U.S. House,20.0,CON,Elizabeth L. Joy,6
Albany,ALBANY WARD 1 ED 8,U.S. House,20.0,CON,Elizabeth L. Joy,2
Albany,ALBANY WARD 1 ED 9,U.S. House,20.0,CON,Elizabeth L. Joy,2
Albany,ALBANY WARD 1 ED 10,U.S. House,20.0,CON,Elizabeth L. Joy,0
Albany,ALBANY WARD 2 ED 1,U.S. House,20.0,CON,Elizabeth L. Joy,5
Albany,ALBANY WARD 2 ED 2,U.S. House,20.0,CON,Elizabeth L. Joy,3
Albany,ALBANY WARD 2 ED 3,U.S. House,20.0,CON,Elizabeth L. Joy,0
Albany,ALBANY WARD 2 ED 4,U.S. House,20.0,CON,Elizabeth L. Joy,7
Albany,ALBANY WARD 2 ED 5,U.S. House,20.0,CON,Elizabeth L. Joy,1
Albany,ALBANY WARD 2 ED 6,U.S. House,20.0,CON,Elizabeth L. Joy,1
Albany,ALBANY WARD 2 ED 7,U.S. House,20.0,CON,Elizabeth L. Joy,0
Albany,ALBANY WARD 2 ED 8,U.S. House,20.0,CON,Elizabeth L. Joy,0
Albany,ALBANY WARD 2 ED 9,U.S. House,20.0,CON,Elizabeth L. Joy,0
Albany,ALBANY WARD 2 ED 10,U.S. House,20.0,CON,Elizabeth L. Joy,0
Albany,ALBANY WARD 3 ED 1,U.S. House,20.0,CON,Elizabeth L. Joy,10
Albany,ALBANY WARD 3 ED 2,U.S. House,20.0,CON,Elizabeth L. Joy,1
